"product_name",seller_id,brand_id,"product_url","number_sold","avg_rating","number_reviews","descript","source"
"Bàn Ủi Khô Philips HD1172/01 (1000W) - Hàng chính hãng                                                                                                                                                                                                                                                                                                                                                 ",19,37,"https://tiki.vn/ban-ui-kho-philips-hd1172-01-1000w-hang-chinh-hang-p392067.html?spid=92969                                                                                                                                                                                                                                   "," 20000                                                                                                                   ","4.6                                                                                                                                                     ","1435                                                                                                                                         ","Công suất 1000W mạnh mẽ
Bàn Ủi Khô Philips HD1172 hoạt động với công suất 1000W có chức năng làm nóng nhanh chóng mặt đế bàn ủi, giúp ủi nhanh quần áo giúp bạn tiết kiệm được nhiều thời gian và điện ","Tiki                            "
"Chuột Không Dây Bluetooth PIX-LINK P100B Chống Ồn, DPI 1600, Chế Độ Kép Wireless Usb 2.4Ghz, Bluetooth Dùng Cho Macbook, Laptop, PC - Hàng chính Hãng                                                                                                                                                                                                                                                  ",13,38,"https://tiki.vn/chuot-khong-day-bluetooth-pix-link-p100b-chong-on-dpi-1600-che-do-kep-wireless-usb-2-4ghz-bluetooth-hang-chinh-hang-p174593860.html?spid=174593870                                                                                                                                                           "," 1000                                                                                                                    ","4.6                                                                                                                                                     ","334                                                                                                                                          ","Chuột không dây Bluetooth PIX-LINK P100B
chống ồn, DPI 1600, chế độ kép wireless usb 2.4Ghz, bluetooth 5.1
HÀNG CHÍNH HÃNG
✿Chuột Không Dây Sạc Điện Bluetooth PIX-LINK P100B
Được thiết kế đơn giản","Tiki                            "
"Giá Đỡ cho Laptop Nhôm Gấp Gọn, Laptop Stand Dùng Cho Máy Từ 11~15 inch, Có Thể Điều Chỉnh góc nhìn Cao Cấp - Hàng chính hãng                                                                                                                                                                                                                                                                          ",12,39,"https://tiki.vn/gia-do-laptop-nhom-gap-gon-laptop-stand-dung-cho-may-tu-11-15-inch-co-the-dieu-chinh-goc-nhin-cao-cap-hang-chinh-hang-p137826483.html?spid=137826484                                                                                                                                                         "," 107                                                                                                                     ","4.9                                                                                                                                                     ","16                                                                                                                                           ","Thiết Kế Đơn Giản Tản Nhiệt Nhanh
Giá đỡ laptop có sự thiết kế gập gọn đơn giản điều chỉnh những góc độ nghiêng linh hoạt,
độ bám cố định chắc chắn để được tất cả các dòng laptop,
không gian tản nh","Tiki                            "
"Tai nghe nhét tai có dây jack 3.5mm Remax RM-512 (New Package) - Hàng chính hãng                                                                                                                                                                                                                                                                                                                       ",19,40,"https://tiki.vn/tai-nghe-nhet-tai-co-day-jack-3-5mm-remax-rm-512-new-package-hang-chinh-hang-p110850007.html?spid=110850012                                                                                                                                                                                                  "," 5000                                                                                                                    ","4.7                                                                                                                                                     ","1033                                                                                                                                         ","Thay đổi thói quen nghe nhạc không an toàn bằng chiếc #tai_nghe có dây Remax #RM_512 không chỉ mang đến những âm thanh sống động nhất, mà hơn thế còn đảm bảo an toàn cho bạn.
Thiết kế hiện đại, cao c","Tiki                            "
"Headphone Tai Nghe Chụp Tai bluetooth Rockspace O2 kết nối không dây có mic nghe nhạc liên tục 15h - Hàng chính hãng bảo hành 12 tháng                                                                                                                                                                                                                                                                 ",19,41,"https://tiki.vn/headphone-tai-nghe-chup-tai-bluetooth-rockspace-o2-ket-noi-khong-day-co-mic-nghe-nhac-lien-tuc-15h-hang-chinh-hang-p135284107.html?spid=135284115                                                                                                                                                            "," 882                                                                                                                     ","4.7                                                                                                                                                     ","218                                                                                                                                          ","Ưu điểm của shop:
- Shop mall, bên mình là nhà phân phối chính thức của hãng Rockspace
- Sản phẩm Tai nghe chụp tai Rockspace O2 Headphone bluetooth không dây có mic giống y hình và mô tả, nếu không","Tiki                            "
"Dầu gội Selsun chống gàu, sạch gàu & hết ngứa da đầu Selsun Anti-Dandruff Shampoo 100ml                                                                                                                                                                                                                                                                                                                ",17,42,"https://tiki.vn/dau-goi-selsun-chong-gau-sach-gau-het-ngua-da-dau-selsun-anti-dandruff-shampoo-100ml-p632680.html?spid=10862721                                                                                                                                                                                              "," 360000                                                                                                                  ","4.8                                                                                                                                                     ","1599                                                                                                                                         ","Dầu gội chống gàu Selsun 100ml
Dầu gội thông thường sẽ không giúp bạn giải quyết được nguyên nhân gây gàu - vi nấm Malassezia một cách hiệu quả. Thứ bạn cần là sản phẩm có thành phần chuyên biệt như ","Tiki                            "
"Lò Vi Sóng Sharp R-208VN-WS (20L) - Hàng Chính Hãng                                                                                                                                                                                                                                                                                                                                                    ",17,43,"https://tiki.vn/lo-vi-song-sharp-r-208vn-ws-20l-hang-chinh-hang-p48962414.html?spid=48962415                                                                                                                                                                                                                                 "," 1000                                                                                                                    ","4.7                                                                                                                                                     ","352                                                                                                                                          ","Thiết kế hiện đại, tinh tế
Lò Vi Sóng Sharp R-208VN-WS có thiết kế hiện đại nhưng rất gọn gàng, sẽ không chiếm nhiều diện tích khi lắp đặt vào gian bếp. Lò có vỏ màu đen sang trọng, cá tính. Khoang l","Tiki                            "
"Nồi Cơm Điện Nắp Gài Sharp KS-181TJV - 1.8 L - Hàng chính hãng                                                                                                                                                                                                                                                                                                                                         ",17,43,"https://tiki.vn/noi-com-dien-nap-gai-sharp-ks-181tjv-1-8-l-hang-chinh-hang-p456050.html?spid=163761                                                                                                                                                                                                                          "," 3000                                                                                                                    ","4.2                                                                                                                                                     ","246                                                                                                                                          ","Thiết kế sang trọng, hiện đại
Nồi Cơm Điện Nắp Gài Sharp KS-181TJV - 1.8 L  có thiết kế đơn giản với tông màu trắng, hoa văn trang trí tinh xảo trông như những viên kim cương đang tỏa sáng. Sản phẩm ","Tiki                            "
"Tai nghe chụp tai Bluetooth Sony WH-CH520 - Hàng chính hãng                                                                                                                                                                                                                                                                                                                                            ",19,44,"https://tiki.vn/tai-nghe-chup-tai-bluetooth-sony-wh-ch520-hang-chinh-hang-p262059424.html?spid=263692751                                                                                                                                                                                                                     "," 290                                                                                                                     ","4.8                                                                                                                                                     ","41                                                                                                                                           ","Âm thanh ấn tượng và thời gian sử dụng pin dài hơn
WH-CH520 - Thưởng thức âm thanh chất lượng cao suốt cả ngày. Tai nghe WH-CH520 với thời gian sử dụng pin lên đến 50 giờ, khả năng kết nối ổn định và","Tiki                            "
"Máy lọc không khí SUNHOUSE SHD-15AP9715 (40W) - Hàng chính hãng                                                                                                                                                                                                                                                                                                                                       ",17,45,"https://tiki.vn/may-lo-c-khong-khi-sunhouse-shd-15ap9715-40w-hang-chinh-hang-p77767851.html?spid=87107068                                                                                                                                                                                                                    "," 1000                                                                                                                    ","4.7                                                                                                                                                     ","324                                                                                                                                          ","Thiết kế đơn giản nhưng sang trọng
Máy lọc không khí SUNHOUSE SHD-15AP9715 được thiết kế tối giản, sạch sẽ với tông màu trắng chủ đạo. Phần thân máy được làm từ chất liệu nhựa ABS cao cấp, bền bỉ, vừ","Tiki                            "
"Nồi chiên không dầu 5.5L Sunhouse SHD4022 - Hàng chính hãng                                                                                                                                                                                                                                                                                                                                          ",17,45,"https://tiki.vn/no-i-chien-khong-da-u-5-5l-sunhouse-shd4022-hang-chinh-hang-p274160498.html?spid=274160499                                                                                                                                                                                                                   "," 199                                                                                                                     ","5.0                                                                                                                                                     ","35                                                                                                                                           ","Khoang chiên hình chữ nhật thế hệ mới, chiên nướng nguyên con không cần chia nhỏ
Dung tích khủng 5.5L, sức chứa được lượng thực phẩm lớn
Công nghệ Rapid Air 360 độ, giảm tới 80% lượng dầu mỡ
Nấu ch","Tiki                            "
"Ấm Siêu Tốc Inox Happy Time Sunhouse HTD1081 (1.8 lít)- Hàng chính hãng                                                                                                                                                                                                                                                                                                                                ",17,45,"https://tiki.vn/am-sieu-toc-inox-happy-time-sunhouse-htd1081-1-8-lit-hang-chinh-hang-p684651.html?spid=685494                                                                                                                                                                                                                "," 9000                                                                                                                    ","4.6                                                                                                                                                     ","825                                                                                                                                          ","Thân ấm bằng inox sáng bóng, không gỉ
Thân Ấm Siêu Tốc Inox Happy Time Sunhouse HTD1081 (1.8 lít) làm bằng thép không gỉ cao cấp, sáng bóng, không để lại cặn dưới đáy ấm sau thời gian dài sử dụng.
M","Tiki                            "
"Ấm Đun Siêu Tốc Inox 2 Lớp Sunhouse SHD1351 (1.8 Lít) - Hàng Chính Hãng                                                                                                                                                                                                                                                                                                                                ",17,45,"https://tiki.vn/am-dun-sieu-toc-inox-2-lop-sunhouse-shd1351-1-8-lit-hang-chinh-hang-p102432143.html?spid=102432144                                                                                                                                                                                                           "," 10000                                                                                                                   ","4.7                                                                                                                                                     ","2368                                                                                                                                         ","Kiểu Dáng Hiện Đại – Tinh Tế - Tiện Dụng
Ấm Đun Siêu Tốc Inox 2 Lớp Sunhouse SHD1351 (1.8 Lít) - Hàng Chính Hãng với lớp bên trong làm từ inox 304 có độ bền cao, đun sôi nhanh và dễ vệ sinh. Đây là l","Tiki                            "
"Quạt Để Bàn Kẹp Tích Điện Mini Dung Lượng Pin 3000mAh 5 Tốc Độ Gió Tích Hợp Đèn Ngủ Và Màn Hình LED - Hàng Chính Hãng Tamayoko                                                                                                                                                                                                                                                                         ",16,46,"https://tiki.vn/quat-de-ban-kep-tich-dien-mini-dung-luong-pin-3000mah-5-toc-do-gio-tich-hop-den-ngu-va-man-hinh-led-hang-chinh-hang-tamayoko-p263119901.html?spid=263119907                                                                                                                                                  "," 235                                                                                                                     ","4.7                                                                                                                                                     ","28                                                                                                                                           ","MÔ TẢ SẢN PHẨM
1. Quạt sạc Mini Tamayoko với dung lượng pin lên đến 3000mAh cho thời gian sử dụng từ 3.5h đến 12h
2. Có thể sử dụng đa dạng, kẹp bàn, kẹp vào nôi cũi trẻ em, để bàn khi đi du lị
3. ","Tiki                            "
"Tẩy Da Chết Mặt Cà Phê Đắk Lắk Cocoon 150ml                                                                                                                                                                                                                                                                                                                                                            ",17,47,"https://tiki.vn/ca-phe-dak-lak-lam-sach-da-chet-mat-cocoon-150ml-p276003895.html?spid=276003896                                                                                                                                                                                                                              "," 6000                                                                                                                    ","5.0                                                                                                                                                     ","2                                                                                                                                            ","Những hạt cà phê Đắk Lắk xay nhuyễn giàu cafeine hòa quyện với bơ cacao Tiền Giang giúp bạn loại bỏ lớp tế bào chết già cỗi và xỉn màu, đánh thức làn da tươi mới đầy năng lượng cùng cảm giác mượt mà v","Tiki                            "
"Dây dán tiên lợi Velcro làm gọn dây sạc, dây tai nghe,... UGREEN 50370- Hàng chính hãng                                                                                                                                                                                                                                                                                                                ",18,48,"https://tiki.vn/day-dan-tien-loi-velcro-lam-gon-day-sac-day-tai-nghe-ugreen-50370-hang-chinh-hang-p91189740.html?spid=91189773                                                                                                                                                                                               "," 1000                                                                                                                    ","4.7                                                                                                                                                     ","80                                                                                                                                           ","TÊN SẢN PHẨM: Dây dán tiên lợi Velcro làm gọn dây sạc, dây tai nghe, UGREEN 50370
THÔNG TIN SẢN PHẨM
- Chiều dài 14cm
- Sử dụng dễ dàng
- Thiết kế tinh tế với 1 đầu thít cố định, tránh tình trạng ","Tiki                            "
"Kính Cường Lực KingKong Có Khung Tự Dán, Ngăn Bụi Loa Dành Cho iPhone - Full Hộp, Dán Full Màn - Hàng Chính Hãng                                                                                                                                                                                                                                                                                       ",15,49,"https://tiki.vn/kinh-cuong-luc-kingkong-co-khung-tu-dan-ngan-bui-loa-danh-cho-iphone-full-hop-dan-full-man-hang-chinh-hang-p227746564.html?spid=276285876                                                                                                                                                                    "," 1000                                                                                                                    ","4.7                                                                                                                                                     ","150                                                                                                                                          ","Kính Cường lực KingKong khung tự dán Nano siêu mượt chống bụi màng loa WK Wekome iPhone X đến 14ProMax
    - Sản phẩm mới Full Box đầy đủ tem trên hộp chính hãng WK WeKome
- Bộ sản phẩm gồm : Hộp gi","Tiki                            "
