id,product_url
64,https://tiki.vn/bo-ban-phim-va-chuot-khong-day-bluetooth-co-led-rgb-thich-hop-cho-may-tinh-bang-ipad-dien-thoai-di-dong-hang-chinh-hang-p275069081.html?spid=275069222                                                                                                                                                       
65,https://tiki.vn/bo-sac-nhanh-ip-cong-suat-20w-chuan-pd-icybernet-ic-3001-c-to-l-cho-ip14-tro-xuong-hang-chinh-hang-p273908702.html?spid=273908703                                                                                                                                                                            
66,https://tiki.vn/cap-sac-usb-to-ip-icybernet-ic-1001-sac-2-4a-va-truyen-du-lieu-dong-thoi-chieu-dai-1-2m-hang-chinh-hang-p273906522.html?spid=273906523                                                                                                                                                                       
67,https://tiki.vn/tai-nghe-nhet-tai-co-micro-jbl-c200si-hang-chinh-hang-p214168962.html?spid=214168963                                                                                                                                                                                                                         
68,https://tiki.vn/quat-cam-tay-mini-jisulife-fa42-sieu-mat-sac-nhanh-pin-2000-4500mah-su-dung-den-6h-12h-hang-chinh-hang-bh-12t-p276143120.html?spid=276151331                                                                                                                                                                 
69,https://tiki.vn/mieng-lot-chuot-kai-hinh-tron-sieu-de-thuong-nhieu-mau-moi_-hang-chinh-hang-p275316800.html?spid=275316808                                                                                                                                                                                                   
70,https://tiki.vn/mieng-lot-chuot-da-kai-n-mouse-pad-leather-chong-tham-da-mem-sieu-min-size-270x210mm-p213701520.html?spid=213701524                                                                                                                                                                                          
71,https://tiki.vn/binh-dun-sieu-toc-2-lop-lock-lock-ejk738wht-1-7-lit-trang-hang-chinh-hang-p3480333.html?spid=3480335                                                                                                                                                                                                         
72,https://tiki.vn/may-kep-nuong-banh-locknlock-ejb126ivy-600w-hang-chinh-hang-p271423054.html?spid=271423055                                                                                                                                                                                                                   
73,https://tiki.vn/noi-chien-khong-dau-dien-tu-lock-lock-ejf296blk-7-2-lit-kem-chao-nuong-hang-chinh-hang-p71159586.html?spid=71159587                                                                                                                                                                                          
74,https://tiki.vn/noi-dien-da-nang-locknlock-electric-multi-pot-ejp436ivy-220v-50hz-600w-1-5l-mau-nga-hang-chinh-hang-p242747639.html?spid=242747640                                                                                                                                                                           
75,https://tiki.vn/am-dien-thuy-tinh-sieu-toc-co-dieu-chinh-nhiet-do-lock-lock-ejk341-1-8l-hang-chinh-hang-p4701559.html?spid=4701561                                                                                                                                                                                           
76,https://tiki.vn/noi-chien-khong-dau-dien-tu-lock-lock-ejf357blk-5-2-lit-hang-chinh-hang-p36626940.html?spid=36626941                                                                                                                                                                                                         
77,https://tiki.vn/chuot-khong-day-logitech-m220-silent-plus-hang-chinh-hang-p10198980.html?spid=190252114                                                                                                                                                                                                                      
78,https://tiki.vn/chuot-khong-day-logitech-m331-cong-usb-hang-chinh-hang-p274990556.html?spid=274990562                                                                                                                                                                                                                        
79,https://tiki.vn/chuot-khong-day-logitech-b175-dau-thu-usb-2-4ghz-pin-1-nam-nho-gon-thiet-ke-thuan-ca-2-tay-phu-hop-pc-laptop-hang-chinh-hang-p389145.html?spid=101360268                                                                                                                                                     
80,https://tiki.vn/chuot-khong-day-logitech-m220-silent-hang-chinh-hang-p4312979.html?spid=4312981                                                                                                                                                                                                                              
81,https://tiki.vn/chuot-khong-day-logitech-m330-silent-plus-hang-chinh-hang-p10197363.html?spid=10197365                                                                                                                                                                                                                       
82,https://tiki.vn/chuot-co-day-logitech-b100-hang-chinh-hang-p356188.html?spid=49932                                                                                                                                                                                                                                           
83,https://tiki.vn/may-say-toc-nagakawa-nag1606-2000w-hang-chinh-hang-p33494720.html?spid=274813840                                                                                                                                                                                                                             
84,https://tiki.vn/tang-gau-bong-to-bo-2-lon-sua-bot-nestle-nan-optipro-plus-4-800g-lon-voi-5hmo-giup-tieu-hoa-tot-p276105953.html?spid=276105954                                                                                                                                                                               
85,https://tiki.vn/tang-gau-bong-to-sua-bot-nestle-nan-optipro-plus-4-1500g-lon-voi-5hmo-giup-tieu-hoa-tot-p276105949.html?spid=276105950                                                                                                                                                                                       
86,https://tiki.vn/sua-bot-nan-infinipro-a2-thuy-si-2-800g-voi-su-ket-hop-doc-dao-giua-dam-quy-a2-va-5hmo-12-24-thang-p168662079.html?spid=168662080                                                                                                                                                                            
87,https://tiki.vn/sua-bot-nestle-nan-infinipro-a2-1-cho-tre-tu-0-12-thang-tuoi-hop-800g-nhap-khau-nguyen-lon-tu-thuy-sy-p168663291.html?spid=168663292                                                                                                                                                                         
88,https://tiki.vn/sua-bot-nestle-nan-optipro-plus-1-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-0-6-thang-p247427699.html?spid=247427700                                                                                                                                                                                            
89,https://tiki.vn/sua-bot-nestle-nan-optipro-plus-2-800g-lon-voi-5hmo-san-xuat-tai-thuy-si-6-12-thang-p247427686.html?spid=247427689                                                                                                                                                                                           
